自然地理与行政区划_镇个数,地区生产总值                                                                                        
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_国有经济_按行业分_建筑业,期刊每期出版平均印数(万册)                                                                          
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_国有经济_按行业分_交通运输、仓储和邮政业,期刊出版总印数(亿册)                                                                                
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_国有经济_按行业分_信息传输、计算机服务和软件业,期刊出版总印张数(亿印张)                                                                            
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_国有经济_按行业分_批发和零售业,报纸出版种数(种)                                                                                    
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_国有经济_按行业分_住宿和餐饮业,报纸每期出版平均印数(万册)                                                                          
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_国有经济_按行业分_金融业,报纸出版总印数(亿份)                                                                                
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_国有经济_按行业分_房地产业,报纸出版总印张数(亿印张)                                                                            
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_国有经济_按行业分_租赁和商务服务业,儿童读物出版种数(种)                                                                                
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_国有经济_按行业分_科学研究、技术服务和地质勘查业,课本出版种数(种)                                                                                    
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_国有经济_按行业分_水利、环境和公共设施业,儿童读物出版总印数(万册)                                                                            
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_国有经济_按行业分_居民服务和其他服务业,课本出版总印数(万册)                                                                                
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_国有经济_按行业分_教育,儿童读物出版总印张(千印张)                                                                          
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_国有经济_按行业分_卫生、社会保障和社会福利业,录像制品出版种数(种)                                                                                
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_国有经济_按行业分_文化、体育和娱乐业,录像制品出版数量(万盒)                                                                              
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_国有经济_按行业分_公共管理和社会组织,新版录像制品出版种数(种)                                                                            
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_国有经济_按行业分_国际组织,新版录像制品出版数量(万盒)                                                                          
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_集体经济_总计,录像制品发行数量(万盒)                                                                              
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_集体经济_按企业、事业机关分_企业,数码激光视盘出版出版种数(种)                                                                        
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_集体经济_按企业、事业机关分_事业,数码激光视盘出版数量(万盒)                                                                          
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_集体经济_按企业、事业机关分_机关,新版数码激光视盘出版种数(种)                                                                        
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_集体经济_按行业分_农、林、牧、渔业,新版数码激光视盘出版数量(万盒)                                                                      
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_集体经济_按行业分_采矿业,高密度激光视盘出版出版种数(种)                                                                      
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_集体经济_按行业分_制造业,高密度激光视盘出版数量(万盒)                                                                        
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_集体经济_按行业分_电力、燃气及水的生产和供应业,新版高密度激光视盘出版种数(种)                                                                      
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_集体经济_按行业分_建筑业,新版高密度激光视盘出版数量(万盒)                                                                    
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_集体经济_按行业分_交通运输、仓储和邮政业,录像带及其他出版出版种数(种)                                                                        
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_集体经济_按行业分_信息传输、计算机服务和软件业,录像带及其他出版数量(万盒)                                                                          
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_集体经济_按行业分_批发和零售业,新版录像带及其他出版种数(种)                                                                        
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_集体经济_按行业分_住宿和餐饮业,新版录像带及其他出版数量(万盒)                                                                      
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_集体经济_按行业分_金融业,录音制品出版种数(种)                                                                                
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_集体经济_按行业分_房地产业,录音制品出版数量(万盒)                                                                              
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_集体经济_按行业分_租赁和商务服务业,新版录音制品出版种数(种)                                                                            
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_集体经济_按行业分_科学研究、技术服务和地质勘查业,新版录音制品出版数量(万盒)                                                                          
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_集体经济_按行业分_水利、环境和公共设施业,录音制品发行数量(万盒)                                                                              
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_集体经济_按行业分_居民服务和其他服务业,录音带出版出版种数(种)                                                                              
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_集体经济_按行业分_教育,录音带出版数量(万盒)                                                                                
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_集体经济_按行业分_卫生、社会保障和社会福利业,新版录音带出版种数(种)                                                                              
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_集体经济_按行业分_文化、体育和娱乐业,新版录音带出版数量(万盒)                                                                            
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_集体经济_按行业分_公共管理和社会组织,激光唱盘出版出版种数(种)                                                                            
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_集体经济_按行业分_国际组织,激光唱盘出版数量(万盒)                                                                              
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_其他经济_总计,新版激光唱盘出版种数(种)                                                                            
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_其他经济_按企业、事业机关分_企业,新版激光唱盘出版数量(万盒)                                                                          
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_其他经济_按企业、事业机关分_事业,高密度激光唱盘及其他出版种数(种)                                                                    
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_其他经济_按企业、事业机关分_机关,高密度激光唱盘及其他出版数量(万盒)                                                                  
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_其他经济_按行业分_农、林、牧、渔业,新版高密度激光唱盘及其他出版种数(种)                                                                
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_其他经济_按行业分_采矿业,新版高密度激光唱盘及其他出版数量(万盒)                                                              
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_其他经济_按行业分_制造业,电子出版物品出版种数(种)                                                                            
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_其他经济_按行业分_电力、燃气及水的生产和供应业,电子出版物出版数量(万张)                                                                            
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_其他经济_按行业分_建筑业,新版电子出版物品出版种数(种)                                                                        
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_其他经济_按行业分_交通运输、仓储和邮政业,新版电子出版物出版数量(万张)                                                                        
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_其他经济_按行业分_信息传输、计算机服务和软件业,只读光盘品出版种数(种)                                                                              
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_其他经济_按行业分_批发和零售业,只读光盘出版数量(万张)                                                                              
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_其他经济_按行业分_住宿和餐饮业,新版只读光盘品出版种数(种)                                                                          
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_其他经济_按行业分_金融业,新版只读光盘出版数量(万张)                                                                          
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_其他经济_按行业分_房地产业,高密度只读光盘品出版种数(种)                                                                        
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_其他经济_按行业分_租赁和商务服务业,高密度只读光盘出版数量(万张)                                                                        
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_其他经济_按行业分_科学研究、技术服务和地质勘查业,新版高密度只读光盘品出版种数(种)                                                                    
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_其他经济_按行业分_水利、环境和公共设施业,新版高密度只读光盘出版数量(万张)                                                                    
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_其他经济_按行业分_居民服务和其他服务业,交互式光盘及其他品出版种数(种)                                                                      
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_其他经济_按行业分_教育,交互式光盘及其他出版数量(万张)                                                                      
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_其他经济_按行业分_卫生、社会保障和社会福利业,新版交互式光盘及其他品出版种数(种)                                                                  
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_其他经济_按行业分_文化、体育和娱乐业,新版交互式光盘及其他出版数量(万张)                                                                  
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_其他经济_按行业分_公共管理和社会组织,版权合同登记数(份)                                                                                  
市区分行业城镇非私营单位从业人员年末人数_按经济类型分_其他经济_按行业分_国际组织,图书版权合同登记数(份)                                                                              
市区分行业城镇非私营单位从业人员年末人数_其他从业人员_总计,期刊版权合同登记数(份)                                                                              
市区分行业城镇非私营单位从业人员年末人数_其他从业人员_按企业、事业机关分_企业,音像制品版权合同登记数(份)                                                                          
市区分行业城镇非私营单位从业人员年末人数_其他从业人员_按企业、事业机关分_事业,电子制品版权合同登记数(份)                                                                          
市区分行业城镇非私营单位从业人员年末人数_其他从业人员_按企业、事业机关分_机关,软件出版物版权合同登记数(份)                                                                        
市区分行业城镇非私营单位从业人员年末人数_其他从业人员_按行业分_农、林、牧、渔业,电影版权合同登记数(份)                                                                              
市区分行业城镇非私营单位从业人员年末人数_其他从业人员_按行业分_采矿业,电视版权合同登记数(份)                                                                              
市区分行业城镇非私营单位从业人员年末人数_其他从业人员_按行业分_制造业,其他节目版权合同登记数(份)                                                                          
市区分行业城镇非私营单位从业人员年末人数_其他从业人员_按行业分_电力、燃气及水的生产和供应业,出版物发行机构数(处)                                                                                
市区分行业城镇非私营单位从业人员年末人数_其他从业人员_按行业分_建筑业,国有书店及国有发行点数(处)                                                                          
市区分行业城镇非私营单位从业人员年末人数_其他从业人员_按行业分_交通运输、仓储和邮政业,供销社数(处)                                                                                        
市区分行业城镇非私营单位从业人员年末人数_其他从业人员_按行业分_信息传输、计算机服务和软件业,出版社数(处)                                                                                        
市区分行业城镇非私营单位从业人员年末人数_其他从业人员_按行业分_批发和零售业,网上书店数(处)                                                                                      
市区分行业城镇非私营单位从业人员年末人数_其他从业人员_按行业分_住宿和餐饮业,文化教育广电邮政系统数(处)                                                                          
市区分行业城镇非私营单位从业人员年末人数_其他从业人员_按行业分_金融业,新华书店系统外批发网点数(处)                                                                        
市区分行业城镇非私营单位从业人员年末人数_其他从业人员_按行业分_房地产业,集体个体零售数(处)                                                                                  
市区分行业城镇非私营单位从业人员年末人数_其他从业人员_按行业分_租赁和商务服务业,新华书店系统出版社自办发行从业人数(人)                                                              
市区分行业城镇非私营单位从业人员年末人数_其他从业人员_按行业分_科学研究、技术服务和地质勘查业,国有书店及国有发行点从业人数(人)                                                                    
市区分行业城镇非私营单位从业人员年末人数_其他从业人员_按行业分_水利、环境和公共设施业,出版印刷企业数(个)                                                                                  
市区分行业城镇非私营单位从业人员年末人数_其他从业人员_按行业分_居民服务和其他服务业,出版印刷企业工业销售产值(万元)                                                                      
市区分行业城镇非私营单位从业人员年末人数_其他从业人员_按行业分_教育,出版印刷企业黑白印刷产量(万令)                                                                      
市区分行业城镇非私营单位从业人员年末人数_其他从业人员_按行业分_卫生、社会保障和社会福利业,出版印刷企业彩色印刷产量(万对开色令)                                                                
市区分行业城镇非私营单位从业人员年末人数_其他从业人员_按行业分_文化、体育和娱乐业,出版印刷企业装订产量(万令)                                                                          
市区分行业城镇非私营单位从业人员年末人数_其他从业人员_按行业分_公共管理和社会组织,出版印刷企业用纸量(万令)                                                                            
市区分行业城镇非私营单位从业人员年末人数_其他从业人员_按行业分_国际组织,出版印刷企业用纸量(万吨)                                                                            
分地区城镇非私营单位从业人员年末人数_总计,出版物发行机构数(处)                                                                                
分地区城镇非私营单位从业人员年末人数_按企业、事业机关分_企业,国有书店及国有发行点数(处)                                                                          
分地区城镇非私营单位从业人员年末人数_按企业、事业机关分_事业,供销社数(处)                                                                                        
分地区城镇非私营单位从业人员年末人数_按企业、事业机关分_机关,出版社数(处)                                                                                        
分地区城镇非私营单位从业人员年末人数_按行业分_农、林、牧、渔业,网上书店数(处)                                                                                      
分地区城镇非私营单位从业人员年末人数_按行业分_采矿业,文化教育广电邮政系统数(处)                                                                          
分地区城镇非私营单位从业人员年末人数_按行业分_制造业,新华书店系统外批发网点数(处)                                                                        
分地区城镇非私营单位从业人员年末人数_按行业分_电力、燃气及水的生产和供应业,集体个体零售数(处)                                                                                  
分地区城镇非私营单位从业人员年末人数_按行业分_建筑业,新华书店系统出版社自办发行从业人数(人)                                                              
分地区城镇非私营单位从业人员年末人数_按行业分_交通运输、仓储和邮政业,国有书店及国有发行点从业人数(人)                                                                    
分地区城镇非私营单位从业人员年末人数_按行业分_信息传输、计算机服务和软件业,医疗卫生机构数(个)                                                                                  
分地区城镇非私营单位从业人员年末人数_按行业分_批发和零售业,医院数(个)                                                                                          
分地区城镇非私营单位从业人员年末人数_按行业分_住宿和餐饮业,综合医院数(个)                                                                                      
分地区城镇非私营单位从业人员年末人数_按行业分_金融业,中医医院数(个)                                                                                      
分地区城镇非私营单位从业人员年末人数_按行业分_房地产业,专科医院数(个)                                                                                      
分地区城镇非私营单位从业人员年末人数_按行业分_租赁和商务服务业,基层医疗卫生机构(个)                                                                                
分地区城镇非私营单位从业人员年末人数_按行业分_科学研究、技术服务和地质勘查业,社区卫生服务中心(站)数(个)                                                                          
分地区城镇非私营单位从业人员年末人数_按行业分_水利、环境和公共设施业,街道卫生院数(个)                                                                                    
分地区城镇非私营单位从业人员年末人数_按行业分_居民服务和其他服务业,乡镇卫生院数(个)                                                                                    
分地区城镇非私营单位从业人员年末人数_按行业分_教育,村卫生室数(个)                                                                                      
分地区城镇非私营单位从业人员年末人数_按行业分_卫生、社会保障和社会福利业,门诊部(所)数(个)                                                                                    
分地区城镇非私营单位从业人员年末人数_按行业分_文化、体育和娱乐业,专业公共卫生机构数(个)                                                                              
分地区城镇非私营单位从业人员年末人数_按行业分_公共管理和社会组织,疾病预防控制中心数(个)                                                                              
分地区城镇非私营单位从业人员年末人数_按行业分_国际组织,专科疾病防治院(所/站)数(个)                                                                         
分地区城镇非私营单位在岗职工年末人数_总计,妇幼保健院(所/站)数(个)                                                                             
分地区城镇非私营单位在岗职工年末人数_按企业、事业机关分_企业,卫生监督所(中心)数(个)                                                                              
分地区城镇非私营单位在岗职工年末人数_按企业、事业机关分_事业,卫生人员数(万人)                                                                                    
分地区城镇非私营单位在岗职工年末人数_按企业、事业机关分_机关,卫生技术人员数(万人)                                                                                
分地区城镇非私营单位在岗职工年末人数_按行业分_农、林、牧、渔业,执业(助理)医师数(万人)                                                                              
分地区城镇非私营单位在岗职工年末人数_按行业分_采矿业,执业医师数(万人)                                                                                    
分地区城镇非私营单位在岗职工年末人数_按行业分_制造业,注册护士数(万人)                                                                                    
分地区城镇非私营单位在岗职工年末人数_按行业分_电力、燃气及水的生产和供应业,药师数(万人)                                                                                        
分地区城镇非私营单位在岗职工年末人数_按行业分_建筑业,乡村医生和卫生员数(万人)                                                                            
分地区城镇非私营单位在岗职工年末人数_按行业分_交通运输、仓储和邮政业,其他技术人员数(万人)                                                                                
分地区城镇非私营单位在岗职工年末人数_按行业分_信息传输、计算机服务和软件业,管理人员数(万人)                                                                                    
分地区城镇非私营单位在岗职工年末人数_按行业分_批发和零售业,工勤技能人员数(万人)                                                                                
分地区城镇非私营单位在岗职工年末人数_按行业分_住宿和餐饮业,每万人拥有卫生技术人员数(人)                                                                        
分地区城镇非私营单位在岗职工年末人数_按行业分_金融业,每万人拥有城市卫生技术人员数(人)                                                                    
分地区城镇非私营单位在岗职工年末人数_按行业分_房地产业,每万人拥有农村卫生技术人员数(人)                                                                    
分地区城镇非私营单位在岗职工年末人数_按行业分_租赁和商务服务业,每万人拥有执业(助理)医师数(人)                                                                      
分地区城镇非私营单位在岗职工年末人数_按行业分_科学研究、技术服务和地质勘查业,每万人拥有城市执业(助理)医师数(人)                                                                  
分地区城镇非私营单位在岗职工年末人数_按行业分_水利、环境和公共设施业,每万人拥有农村执业(助理)医师数(人)                                                                  
分地区城镇非私营单位在岗职工年末人数_按行业分_居民服务和其他服务业,每万人拥有注册护士数(人)                                                                            
分地区城镇非私营单位在岗职工年末人数_按行业分_教育,每万人拥有城市注册护士数(人)                                                                        
分地区城镇非私营单位在岗职工年末人数_按行业分_卫生、社会保障和社会福利业,每万人拥有农村注册护士数(人)                                                                        
分地区城镇非私营单位在岗职工年末人数_按行业分_文化、体育和娱乐业,村卫生室个数(个)                                                                                    
分地区城镇非私营单位在岗职工年末人数_按行业分_公共管理和社会组织,村办的村卫生室个数(个)                                                                              
分地区城镇非私营单位在岗职工年末人数_按行业分_国际组织,乡卫生院设点的村卫生室个数(个)                                                                      
分地区城镇非私营单位女性从业人员年末人数_总计,联合办的村卫生室个数(个)                                                                            
分地区城镇非私营单位女性从业人员年末人数_按企业、事业机关分_企业,私人办的村卫生室个数(个)                                                                            
分地区城镇非私营单位女性从业人员年末人数_按企业、事业机关分_事业,其他办的村卫生室个数(个)                                                                            
分地区城镇非私营单位女性从业人员年末人数_按企业、事业机关分_机关,设卫生室的村数占行政村数%(%)                                                                        
分地区城镇非私营单位女性从业人员年末人数_按行业分_农、林、牧、渔业,卫生机构床位数(万张)                                                                                
分地区城镇非私营单位女性从业人员年末人数_按行业分_采矿业,医院床位数(万张)                                                                                    
分地区城镇非私营单位女性从业人员年末人数_按行业分_制造业,基层医疗卫生机构床位数(万张)                                                                        
分地区城镇非私营单位女性从业人员年末人数_按行业分_电力、燃气及水的生产和供应业,社区卫生服务中心床位数(万张)                                                                        
分地区城镇非私营单位女性从业人员年末人数_按行业分_建筑业,街道卫生院床位数(万张)                                                                              
分地区城镇非私营单位女性从业人员年末人数_按行业分_交通运输、仓储和邮政业,乡镇卫生院床位数(万张)                                                                              
分地区城镇非私营单位女性从业人员年末人数_按行业分_信息传输、计算机服务和软件业,专业公共卫生机构床位数(万张)                                                                        
分地区城镇非私营单位女性从业人员年末人数_按行业分_批发和零售业,妇幼保健院(所、站)床位数(万张)                                                                      
分地区城镇非私营单位女性从业人员年末人数_按行业分_住宿和餐饮业,专科疾病防治院(所、站)床位数(万张)                                                                  
分地区城镇非私营单位女性从业人员年末人数_按行业分_金融业,医疗卫生机构床位数(万张)                                                                            
分地区城镇非私营单位女性从业人员年末人数_按行业分_房地产业,城市医疗卫生机构床位数(万张)                                                                        
分地区城镇非私营单位女性从业人员年末人数_按行业分_租赁和商务服务业,农村卫生机构床位数(万张)                                                                            
分地区城镇非私营单位女性从业人员年末人数_按行业分_科学研究、技术服务和地质勘查业,每万人医疗机构床位数(张)                                                                            
分地区城镇非私营单位女性从业人员年末人数_按行业分_水利、环境和公共设施业,城市每万人医疗机构床位数(张)                                                                        
分地区城镇非私营单位女性从业人员年末人数_按行业分_居民服务和其他服务业,农村每万人医疗机构床位数(张)                                                                        
分地区城镇非私营单位女性从业人员年末人数_按行业分_教育,医院、卫生院床位数(万张)                                                                            
分地区城镇非私营单位女性从业人员年末人数_按行业分_卫生、社会保障和社会福利业,每万人医院和卫生院床位数(张)                                                                        
分地区城镇非私营单位女性从业人员年末人数_按行业分_文化、体育和娱乐业,每万农业人口乡镇卫生院床位数(张)                                                                    
分地区城镇非私营单位女性从业人员年末人数_按行业分_公共管理和社会组织,社区卫生服务中心数(个)                                                                              
分地区城镇非私营单位女性从业人员年末人数_按行业分_国际组织,无床的社区卫生服务中心数(个)                                                                        
全市分行业城镇非私营单位职工素质情况_总计_总计,1-9张床位数的社区卫生服务中心数(个)                                                                 
全市分行业城镇非私营单位职工素质情况_总计_按企业、事业机关分_企业,10-29张床位数的社区卫生服务中心数(个)                                                               
全市分行业城镇非私营单位职工素质情况_总计_按企业、事业机关分_事业,30-49张床位数的社区卫生服务中心数(个)                                                               
全市分行业城镇非私营单位职工素质情况_总计_按企业、事业机关分_机关,50-99张床位数的社区卫生服务中心数(个)                                                               
全市分行业城镇非私营单位职工素质情况_总计_按行业分_农、林、牧、渔业,100张及以上床位数的社区卫生服务中心数(个)                                                           
全市分行业城镇非私营单位职工素质情况_总计_按行业分_采矿业,社区卫生服务站数(个)                                                                                
全市分行业城镇非私营单位职工素质情况_总计_按行业分_制造业,无床的社区卫生服务站数(个)                                                                          
全市分行业城镇非私营单位职工素质情况_总计_按行业分_电力、燃气及水的生产和供应业,1-9张床位数的社区卫生服务站数(个)                                                                   
全市分行业城镇非私营单位职工素质情况_总计_按行业分_建筑业,10张及以上床位数的社区卫生服务站数(个)                                                              
全市分行业城镇非私营单位职工素质情况_总计_按行业分_交通运输、仓储和邮政业,医疗卫生机构诊疗人次(亿次)                                                                          
全市分行业城镇非私营单位职工素质情况_总计_按行业分_信息传输、计算机服务和软件业,医疗卫生机构门急诊诊疗人次数(亿次)                                                                  
全市分行业城镇非私营单位职工素质情况_总计_按行业分_批发和零售业,医疗卫生机构观察室留观病例数(万人)                                                                  
全市分行业城镇非私营单位职工素质情况_总计_按行业分_住宿和餐饮业,医疗卫生机构门诊健康检查人数(万人)                                                                  
全市分行业城镇非私营单位职工素质情况_总计_按行业分_金融业,医疗卫生机构急诊抢救成功率(%)                                                                       
全市分行业城镇非私营单位职工素质情况_总计_按行业分_房地产业,医疗卫生机构急诊病死率(%)                                                                           
全市分行业城镇非私营单位职工素质情况_总计_按行业分_租赁和商务服务业,医疗卫生机构观察室病死率(%)                                                                         
全市分行业城镇非私营单位职工素质情况_总计_按行业分_科学研究、技术服务和地质勘查业,入院人数(万人)                                                                                      
全市分行业城镇非私营单位职工素质情况_总计_按行业分_水利、环境和公共设施业,医疗卫生机构出院人数(万人)                                                                          
全市分行业城镇非私营单位职工素质情况_总计_按行业分_居民服务和其他服务业,医疗卫生机构住院病人手术人次(万人次)                                                                
全市分行业城镇非私营单位职工素质情况_总计_按行业分_教育,医疗卫生机构危重病人抢救人次(万人次)                                                                
全市分行业城镇非私营单位职工素质情况_总计_按行业分_卫生、社会保障和社会福利业,医疗卫生机构危重病人抢救成功率(%)                                                                   
全市分行业城镇非私营单位职工素质情况_总计_按行业分_文化、体育和娱乐业,医疗卫生机构每百门急诊入院人数(人)                                                                  
全市分行业城镇非私营单位职工素质情况_总计_按行业分_公共管理和社会组织,医院病床周转次数(次)                                                                                
全市分行业城镇非私营单位职工素质情况_总计_按行业分_国际组织,医院病床工作日(日)                                                                                  
全市分行业城镇非私营单位职工素质情况_按文化程度分_大学本科及以上_总计,医院病床使用率(%)                                                                                   
全市分行业城镇非私营单位职工素质情况_按文化程度分_大学本科及以上_按企业、事业机关分_企业,医院平均住院日(日)                                                                                  
全市分行业城镇非私营单位职工素质情况_按文化程度分_大学本科及以上_按企业、事业机关分_事业,政府办医院病床周转次数(次)                                                                          
全市分行业城镇非私营单位职工素质情况_按文化程度分_大学本科及以上_按企业、事业机关分_机关,政府办医院病床工作日(日)                                                                            
全市分行业城镇非私营单位职工素质情况_按文化程度分_大学本科及以上_按行业分_农、林、牧、渔业,政府办医院病床使用率(%)                                                                             
全市分行业城镇非私营单位职工素质情况_按文化程度分_大学本科及以上_按行业分_采矿业,政府办医院平均住院日(日)                                                                            
全市分行业城镇非私营单位职工素质情况_按文化程度分_大学本科及以上_按行业分_制造业,县(市、区)数(个)                                                                                    
全市分行业城镇非私营单位职工素质情况_按文化程度分_大学本科及以上_按行业分_电力、燃气及水的生产和供应业,开展新型农村合作医疗县(区、市)数(个)                                                                
全市分行业城镇非私营单位职工素质情况_按文化程度分_大学本科及以上_按行业分_建筑业,参加新型农村合作医疗人数(亿人)                                                                      
全市分行业城镇非私营单位职工素质情况_按文化程度分_大学本科及以上_按行业分_交通运输、仓储和邮政业,新型农村合作医疗人均筹资(元)                                                                        
全市分行业城镇非私营单位职工素质情况_按文化程度分_大学本科及以上_按行业分_信息传输、计算机服务和软件业,新型农村合作医疗本年度筹资总额(亿元)                                                                
全市分行业城镇非私营单位职工素质情况_按文化程度分_大学本科及以上_按行业分_批发和零售业,新型农村合作医疗补偿受益人次(亿人次)                                                                
全市分行业城镇非私营单位职工素质情况_按文化程度分_大学本科及以上_按行业分_住宿和餐饮业,等级运动员发展人数(人)                                                                              
全市分行业城镇非私营单位职工素质情况_按文化程度分_大学本科及以上_按行业分_金融业,等级女运动员发展人数(人)                                                                            
全市分行业城镇非私营单位职工素质情况_按文化程度分_大学本科及以上_按行业分_房地产业,国际级运动健将发展人数(人)                                                                          
全市分行业城镇非私营单位职工素质情况_按文化程度分_大学本科及以上_按行业分_租赁和商务服务业,国际级女运动健将发展人数(人)                                                                        
全市分行业城镇非私营单位职工素质情况_按文化程度分_大学本科及以上_按行业分_科学研究、技术服务和地质勘查业,运动健将发展人数(人)                                                                                
全市分行业城镇非私营单位职工素质情况_按文化程度分_大学本科及以上_按行业分_水利、环境和公共设施业,女运动健将发展数(人)                                                                                
